company,year,Price,kms_driven,fuel_type,model
Hyundai,2007,80000,45000,Petrol,Santro Xing
Mahindra,2006,425000,40,Diesel,Jeep CL550
Hyundai,2014,325000,28000,Petrol,Grand i10
Ford,2014,575000,36000,Diesel,EcoSport Titanium
Ford,2012,175000,41000,Diesel,Figo
Hyundai,2013,190000,25000,Petrol,Eon
Ford,2016,830000,24530,Diesel,EcoSport Ambiente
Maruti,2015,250000,60000,Petrol,Suzuki Alto
Skoda,2010,182000,60000,Petrol,Fabia Classic
Maruti,2015,315000,30000,Petrol,Suzuki Stingray
Hyundai,2014,415000,32000,Petrol,Elite i20
Mahindra,2015,320000,48660,Diesel,Scorpio SLE
Hyundai,2007,80000,45000,Petrol,Santro Xing
Mahindra,2006,425000,40,Diesel,Jeep CL550
Audi,2017,1000000,4000,Petrol,A8
Audi,2014,500000,16934,Diesel,Q7
Mahindra,2016,350000,43000,Diesel,Scorpio S10
Maruti,2014,160000,35550,Petrol,Suzuki Alto
Mahindra,2016,350000,43000,Diesel,Scorpio S10
Mahindra,2016,310000,39522,Diesel,Scorpio S10
Maruti,2015,75000,39000,Petrol,Suzuki Alto
Hyundai,2012,100000,55000,Petrol,i20 Sportz
Hyundai,2012,100000,55000,Petrol,i20 Sportz
Hyundai,2012,100000,55000,Petrol,i20 Sportz
Maruti,2017,190000,72000,Petrol,Suzuki Alto
Maruti,2016,290000,15975,Diesel,Suzuki Vitara
Maruti,2008,95000,70000,Petrol,Suzuki Alto
Mahindra,2017,180000,23452,Diesel,Bolero DI
Maruti,2014,385000,35522,Diesel,Suzuki Swift
Mahindra,2015,250000,48508,Diesel,Scorpio S10
Maruti,2017,180000,15487,Petrol,Suzuki Swift
Maruti,2013,105000,39000,Petrol,Suzuki Wagon
Maruti,2013,105000,39000,Petrol,Suzuki Wagon
Toyota,2012,650000,82000,Diesel,Innova 2.0
Renault,2018,689999,20000,Diesel,Lodgy 85
Skoda,2012,448000,68000,Diesel,Yeti Ambition
Maruti,2017,549000,32000,Diesel,Suzuki Baleno
Renault,2012,501000,38000,Diesel,Duster 110
Renault,2013,489999,27000,Diesel,Duster 85
Honda,2011,280000,33000,Petrol,City 1.5
Maruti,2015,250000,60000,Petrol,Suzuki Alto
Maruti,2013,349999,46000,Diesel,Suzuki Dzire
Honda,2013,284999,46000,Diesel,Amaze
Honda,2015,345000,36000,Diesel,Amaze 1.5
Honda,2015,499999,55000,Petrol,City
Datsun,2017,235000,16000,Petrol,Redi GO
Maruti,2010,249999,36000,Petrol,Suzuki SX4
Mitsubishi,2015,1475000,47000,Diesel,Pajero Sport
Mahindra,2017,180000,23452,Diesel,Bolero DI
Maruti,2014,385000,35522,Diesel,Suzuki Swift
Mahindra,2015,250000,48508,Diesel,Scorpio S10
Maruti,2017,180000,15487,Petrol,Suzuki Swift
Maruti,2013,105000,39000,Petrol,Suzuki Wagon
Maruti,2013,105000,39000,Petrol,Suzuki Wagon
Mahindra,2015,395000,35000,Diesel,Scorpio S10
Maruti,2017,220000,30874,Petrol,Suzuki Swift
Honda,2017,170000,15000,Diesel,City ZX
Maruti,2013,85000,29685,Petrol,Suzuki Wagon
Ford,2012,175000,41000,Diesel,Figo
Hyundai,2013,190000,25000,Petrol,Eon
Tata,2017,200000,130000,Diesel,Indigo eCS
Ford,2016,830000,24530,Diesel,EcoSport Ambiente
Tata,2017,200000,130000,Diesel,Indigo eCS
Mahindra,2012,570000,19000,Diesel,Scorpio SLE
Volkswagen,2014,315000,60000,Petrol,Polo Highline
Skoda,2010,182000,60000,Petrol,Fabia Classic
Maruti,2015,315000,30000,Petrol,Suzuki Stingray
Chevrolet,2010,110000,41000,Petrol,Spark LS
Renault,2012,501000,35000,Diesel,Duster 110PS
Honda,2015,448999,54000,Petrol,City
Mini,2013,1891111,13000,Petrol,Cooper S
Datsun,2017,235000,16000,Petrol,Redi GO
Skoda,2011,159500,38200,Diesel,Fabia 1.2L
Honda,2015,344999,22000,Petrol,Amaze
Honda,2015,344999,22000,Petrol,Amaze
Renault,2014,449999,50000,Diesel,Duster
Mini,2013,1891111,13500,Petrol,Cooper S
Mahindra,2015,865000,30000,Diesel,Scorpio S4
Mahindra,2014,699000,50000,Diesel,Scorpio VLX
Mahindra,2013,375000,20000,Diesel,Quanto C8
Ford,2017,489999,39000,Petrol,EcoSport
Honda,2012,224999,30000,Petrol,Brio
Volkswagen,2019,1200000,3600,Diesel,Vento Highline
Hyundai,2009,195000,32000,Petrol,i20 Magna
Toyota,2010,351000,38000,Diesel,Corolla Altis
Hyundai,2008,160000,45000,Petrol,Verna Transform
Toyota,2009,240000,35000,Petrol,Corolla Altis
Honda,2005,90000,50000,Petrol,City 1.5
Hyundai,2014,415000,32000,Petrol,Elite i20
Skoda,2011,155000,45863,Diesel,Fabia 1.2L
BMW,2011,600000,60500,Petrol,3 Series
Maruti,2011,189500,12500,Petrol,Suzuki A
Toyota,2013,350000,60000,Diesel,Etios GD
Ford,2012,210000,35000,Diesel,Figo Diesel
Maruti,2014,390000,35000,Petrol,Suzuki Swift
Chevrolet,2012,135000,45000,Diesel,Beat LT
BMW,2009,1600000,35000,Petrol,7 Series
Mahindra,2013,701000,38000,Diesel,XUV500 W8
Hyundai,2014,265000,18000,Petrol,i10 Magna
Hyundai,2015,525000,35000,Diesel,Verna Fluidic
Maruti,2013,372000,13349,Petrol,Suzuki Swift
Maruti,2016,635000,29000,Petrol,Suzuki Ertiga
Ford,2014,550000,44000,Diesel,EcoSport Titanium
Maruti,2016,575000,29000,Petrol,Suzuki Ertiga
Maruti,2013,485000,42000,Diesel,Suzuki Ertiga
Maruti,2012,155000,14000,Petrol,Suzuki Alto
Hyundai,2014,345000,49000,Diesel,Grand i10
Honda,2014,325000,42000,Petrol,Amaze 1.2
Hyundai,2012,329500,36200,Diesel,i20 Asta
Ford,2014,195000,50000,Diesel,Figo Diesel
Maruti,2015,251111,55000,Petrol,Suzuki Eeco
Maruti,2014,569999,45000,Petrol,Suzuki Ertiga
Maruti,2007,69999,51000,Petrol,Suzuki Esteem
Maruti,2014,299999,19000,Petrol,Suzuki Ritz
Maruti,2009,220000,46000,Petrol,Suzuki Dzire
Maruti,2013,399999,33000,Diesel,Suzuki Ritz
Maruti,2013,372000,13349,Petrol,Suzuki Swift
Maruti,2015,450000,104000,Diesel,Suzuki Dzire
Toyota,2014,270000,55000,Petrol,Etios Liva
Hyundai,2011,350000,33333,Diesel,i20 Sportz
Chevrolet,2012,158400,33600,Petrol,Spark
Maruti,2017,350000,5600,Petrol,Suzuki Alto
Nissan,2011,179000,41000,Petrol,Micra XV
Maruti,2007,125000,70000,Petrol,Suzuki Swift
Maruti,2018,200000,7500,Petrol,Suzuki Alto
Honda,2013,299000,45000,Diesel,Amaze 1.5
Maruti,2015,220000,38000,Petrol,Suzuki Alto
Chevrolet,2015,150000,30000,Petrol,Beat
Honda,2010,285000,35000,Petrol,City 1.5
Ford,2016,830000,24330,Diesel,EcoSport Trend
Hyundai,2009,210000,65480,Petrol,i20 Asta
Maruti,2013,340000,41000,Petrol,Suzuki Swift
Tata,2006,90000,20000,Petrol,Indica V2
Hindustan,2000,70000,200000,Diesel,Motors Ambassador
Toyota,2010,289999,70000,Petrol,Corolla Altis
Toyota,2012,349999,59000,Petrol,Corolla Altis
Toyota,2012,849999,99000,Diesel,Innova 2.5
Volkswagen,2014,749999,46000,Diesel,Jetta Highline
Volkswagen,2015,399999,2800,Petrol,Polo Comfortline
Volkswagen,2014,274999,32000,Petrol,Polo
Mahindra,2015,984999,22000,Diesel,Scorpio
Renault,2014,449999,50000,Diesel,Duster
Honda,2015,344999,22000,Petrol,Amaze
Nissan,2012,224999,45000,Petrol,Sunny
Hyundai,2018,599999,21000,Petrol,Elite i20
Renault,2016,244999,11000,Petrol,Kwid
Renault,2013,399999,41000,Diesel,Duster
Ford,2017,489999,39000,Petrol,EcoSport
Renault,2014,474999,50000,Diesel,Duster
Mahindra,2011,499999,66000,Diesel,Scorpio VLX
Maruti,2018,310000,3000,Petrol,Suzuki Alto
Chevrolet,2010,85000,45000,Petrol,Spark LT
Datsun,2016,245000,7000,Petrol,Redi GO
Maruti,2010,189500,38500,Diesel,Suzuki Swift
Fiat,2012,169500,37200,Diesel,Punto Emotion
Maruti,2010,159500,43200,Diesel,Suzuki Swift
Toyota,2013,275000,24800,Petrol,Etios GD
Hyundai,2014,370000,60000,Diesel,i20 Sportz
Hyundai,2010,168000,45872,Petrol,i10 Sportz
Chevrolet,2011,150000,40000,Diesel,Beat LT
Chevrolet,2011,145000,45000,Diesel,Beat LS
Chevrolet,2012,98500,38000,Diesel,Beat LT
Mahindra,2014,699000,50000,Diesel,Scorpio VLX
Tata,2011,85000,11400,Diesel,Indigo CS
Toyota,2015,575000,42000,Petrol,Corolla Altis
Honda,2014,549000,39000,Petrol,City 1.5
Maruti,2011,209000,47000,Diesel,Suzuki Swift
Hyundai,2013,185000,27000,Petrol,Eon Era
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Mahindra,2014,699999,52000,Diesel,XUV500
Honda,2012,224999,30000,Petrol,Brio
Ford,2011,274999,55000,Diesel,Fiesta
Honda,2013,284999,46000,Diesel,Amaze
Honda,2015,599999,30000,Diesel,City
Maruti,2012,199999,44000,Petrol,Suzuki Wagon
Honda,2014,544999,45000,Diesel,City
Hyundai,2009,199000,31000,Petrol,i20
Tata,2016,320000,175430,Diesel,Indigo eCS
Hyundai,2015,540000,38000,Diesel,Fluidic Verna
Mahindra,2013,340000,37000,Diesel,Quanto C8
Fiat,2008,75000,65000,Petrol,Petra ELX
Skoda,2011,159500,38200,Diesel,Fabia 1.2L
Mini,2013,1891111,13000,Petrol,Cooper S
Hyundai,2005,49000,7500,Petrol,Santro Xing
Maruti,2016,700000,3350,Petrol,Suzuki Ciaz
Maruti,2000,55000,60000,Petrol,Suzuki Zen
Honda,2015,448999,54000,Petrol,City
Hyundai,2017,895000,32000,Petrol,Creta 1.6
Mahindra,2007,355000,75000,Diesel,Scorpio SLX
Mahindra,2012,565000,62000,Diesel,Scorpio SLE
Toyota,2006,365000,73000,Diesel,Innova 2.5
Maruti,2011,145000,41000,Petrol,Suzuki Alto
Maruti,2011,210000,35000,Petrol,Suzuki Wagon
Tata,2013,40000,2200,Petrol,Nano Cx
Maruti,2013,125000,39000,Petrol,Suzuki Alto
Maruti,2009,135000,45000,Petrol,Suzuki Wagon
Maruti,2006,135000,45000,Petrol,Suzuki Swift
Tata,2012,285000,65000,Diesel,Sumo Victa
Maruti,2010,145000,54870,Petrol,Suzuki Wagon
Maruti,2010,135000,34580,Petrol,Suzuki Alto
Volkswagen,2009,450000,97000,Diesel,Passat Diesel
Renault,2015,375000,25000,Diesel,Scala RxL
Mahindra,2013,375000,20000,Diesel,Quanto C8
Hyundai,2014,365000,20000,Petrol,Grand i10
Hyundai,2015,500000,18000,Petrol,i20 Active
Mahindra,2012,400000,35000,Diesel,Xylo E4
Mahindra,2019,390000,60,Diesel,Jeep MM
Renault,2012,501000,35000,Diesel,Duster 110PS
Mahindra,2013,330000,80200,Diesel,Bolero SLE
Force,2015,580000,3200,Diesel,Motors Force
Maruti,2012,265000,46000,Diesel,Suzuki SX4
Mahindra,2019,379000,0,Diesel,Jeep CL550
Maruti,2015,219000,5000,Petrol,Suzuki Alto
Mahindra,2018,385000,588,Diesel,Jeep CL550
Toyota,2011,275000,36000,Diesel,Etios
Volkswagen,2015,330000,38000,Diesel,Polo
Honda,2008,110000,45000,Petrol,City ZX
Maruti,2006,80000,71200,Petrol,Suzuki Wagon
Honda,2016,519000,52000,Diesel,City VX
Mahindra,2016,730000,29000,Diesel,Thar CRDe
Mitsubishi,2015,1475000,47000,Diesel,Pajero Sport
Audi,2009,699000,47000,Petrol,A4 1.8
Mercedes,2015,2000000,20000,Diesel,Benz GLA
Land,2015,2100000,30000,Diesel,Rover Freelander
Renault,2017,340000,5000,Petrol,Kwid RXT
Tata,2014,390000,35000,Diesel,Aria Pleasure
Mercedes,2014,1400000,31000,Petrol,Benz B
Datsun,2016,245000,7000,Petrol,GO T
Tata,2016,320000,175430,Diesel,Indigo eCS
Tata,2016,320000,175400,Diesel,Indigo eCS
Honda,2016,450000,41000,Petrol,Jazz VX
Honda,2014,311000,33000,Petrol,Amaze 1.2
